,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
200,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,20:55,"09:35
+ 1 day",12h 40m,1 Stop,9879
201,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,6:30,19:35,13h 05m,1 Stop,9879
202,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,6:00,19:35,13h 35m,1 Stop,9879
203,Air India,"Tue, 23 Nov",Mumbai,Kolkata,8:00,14:30,6h 30m,1 Stop,9946
204,Air India,"Tue, 23 Nov",Mumbai,Kolkata,7:00,14:30,7h 30m,1 Stop,9946
205,Air India,"Tue, 23 Nov",Mumbai,Kolkata,21:30,"14:30
+ 1 day",17h 00m,1 Stop,9946
206,Air India,"Tue, 23 Nov",Mumbai,Kolkata,18:00,"14:30
+ 1 day",20h 30m,1 Stop,9946
207,Air India,"Tue, 23 Nov",Mumbai,Kolkata,15:25,"14:30
+ 1 day",23h 05m,2 Stop(s),9946
208,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,15:50,20:15,4h 25m,1 Stop,9996
209,Air India,"Tue, 23 Nov",Mumbai,Kolkata,16:45,"08:20
+ 1 day",15h 35m,1 Stop,10129
210,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,11:40,20:55,9h 15m,1 Stop,10248
211,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,16:15,22:55,6h 40m,1 Stop,10563
212,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:20,18:05,5h 45m,1 Stop,10584
213,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,12:20,22:25,10h 05m,1 Stop,10584
214,Vistara,"Tue, 23 Nov",Mumbai,Kolkata,7:30,19:35,12h 05m,1 Stop,10593
215,Air India,"Tue, 23 Nov",Mumbai,Kolkata,21:30,"09:00
+ 1 day",11h 30m,1 Stop,10904
216,Air India,"Tue, 23 Nov",Mumbai,Kolkata,18:00,"09:00
+ 1 day",15h 00m,1 Stop,10904
217,Air India,"Tue, 23 Nov",Mumbai,Kolkata,15:25,"09:00
+ 1 day",17h 35m,2 Stop(s),10904
218,Air India,"Tue, 23 Nov",Mumbai,Kolkata,19:20,"14:30
+ 1 day",19h 10m,2 Stop(s),10913
219,Air India,"Tue, 23 Nov",Mumbai,Kolkata,19:00,"14:30
+ 1 day",19h 30m,1 Stop,10969
220,Air India,"Tue, 23 Nov",Mumbai,Kolkata,21:30,"19:10
+ 1 day",21h 40m,1 Stop,11324
221,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,9:20,17:25,8h 05m,1 Stop,11326
222,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,9:20,20:15,10h 55m,1 Stop,11326
223,Go First,"Tue, 23 Nov",Mumbai,Kolkata,13:30,21:45,8h 15m,1 Stop,11377
224,Go First,"Tue, 23 Nov",Mumbai,Kolkata,23:45,"08:00
+ 1 day",8h 15m,1 Stop,11377
225,Go First,"Tue, 23 Nov",Mumbai,Kolkata,22:40,"08:00
+ 1 day",9h 20m,1 Stop,11377
226,Go First,"Tue, 23 Nov",Mumbai,Kolkata,21:15,"08:00
+ 1 day",10h 45m,1 Stop,11377
227,Go First,"Tue, 23 Nov",Mumbai,Kolkata,20:15,"08:00
+ 1 day",11h 45m,1 Stop,11377
228,Go First,"Tue, 23 Nov",Mumbai,Kolkata,9:55,21:45,11h 50m,1 Stop,11377
229,Go First,"Tue, 23 Nov",Mumbai,Kolkata,8:00,21:45,13h 45m,1 Stop,11377
230,Go First,"Tue, 23 Nov",Mumbai,Kolkata,18:00,"08:00
+ 1 day",14h 00m,1 Stop,11377
231,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,16:55,22:25,5h 30m,1 Stop,11498
232,IndiGo,"Tue, 23 Nov",Mumbai,Kolkata,13:45,22:30,8h 45m,1 Stop,11876
233,Air India,"Tue, 23 Nov",Mumbai,Kolkata,19:00,"09:00
+ 1 day",14h 00m,1 Stop,11928
234,Go First,"Tue, 23 Nov",Mumbai,Kolkata,12:15,21:45,9h 30m,1 Stop,11953
235,Air India,"Tue, 23 Nov",Mumbai,Kolkata,8:00,19:10,11h 10m,1 Stop,12229
236,Air India,"Tue, 23 Nov",Mumbai,Kolkata,7:00,19:10,12h 10m,1 Stop,12229
237,Air India,"Tue, 23 Nov",Mumbai,Kolkata,10:00,19:10,9h 10m,1 Stop,12768
